Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spending,Total_Purchases,Average_Spend,Family_Size,Age,Engagement,Spending_Ratio
2n Cycle,Single,36975.0,1,0,2013-12-28,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,33,4,6.6,2,48,0.0784313725490196,0.0008924707918649935
2n Cycle,Married,72635.0,0,0,2013-06-03,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,981,20,46.714285714285715,1,71,0.36363636363636365,0.013505699653064597
Graduation,Married,13624.0,1,0,2013-01-20,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,36,5,6.0,2,50,0.05319148936170213,0.0026422018348623852
Graduation,Single,84196.0,0,1,2013-06-03,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,1237,19,61.85,2,51,0.3333333333333333,0.014691734859911874
Graduation,Together,70971.0,0,1,2012-09-21,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,1825,27,65.17857142857143,2,66,0.9310344827586207,0.025714366228935356
PhD,Divorced,34487.0,1,1,2012-09-06,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,103,6,14.714285714285714,3,49,0.06315789473684211,0.00298654604500116
Graduation,Single,28769.0,1,0,2012-12-18,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,191,9,19.1,2,49,0.11688311688311688,0.006638859923531457
PhD,Married,69084.0,1,0,2013-11-19,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,1586,23,66.08333333333333,2,56,0.5227272727272727,0.022957226604907
PhD,Together,65488.0,0,0,2014-06-13,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,963,13,68.78571428571429,1,68,0.2765957446808511,0.014704759577944388
2n Cycle,Married,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,889,21,40.40909090909091,2,56,1.5,0.014231514239518466
2n Cycle,Single,32218.0,0,0,2014-02-15,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,93,6,13.285714285714286,1,66,0.21428571428571427,0.002886495546106335
Graduation,Single,83917.0,0,0,2013-04-18,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,1587,20,75.57142857142857,1,53,1.5384615384615385,0.01891131819156796
Graduation,Divorced,46102.0,2,1,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,16,3,4.0,4,64,0.75,0.00034704899898054355
Graduation,Single,84574.0,0,0,2013-06-04,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,1375,31,42.96875,1,74,0.4246575342465753,0.0162577593851611
Graduation,Married,56181.0,0,1,2013-01-08,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,393,13,28.071428571428573,2,64,1.8571428571428572,0.006995122993129472
Master,Divorced,63120.0,0,1,2012-09-28,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,1477,21,67.13636363636364,2,76,0.3888888888888889,0.02339950254273538
Graduation,Married,73691.0,0,1,2013-11-06,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,1179,16,69.3529411764706,2,55,0.2711864406779661,0.015999022960429897
Graduation,Together,63381.0,0,1,2012-10-05,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,1005,22,43.69565217391305,2,66,0.27848101265822783,0.015856236786469344
PhD,Together,76140.0,0,0,2014-05-13,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,1348,20,64.19047619047619,1,78,0.3448275862068966,0.017703996532748453
PhD,Divorced,62859.0,0,1,2012-12-30,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,1307,19,65.35,2,67,0.5,0.020792236716512886
Graduation,Single,45906.0,0,1,2013-05-07,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,486,13,34.714285714285715,2,62,0.6190476190476191,0.010586620776787854
Master,Together,77632.0,0,0,2013-03-10,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,2252,12,173.23076923076923,1,79,0.16216216216216217,0.02900828256025144
PhD,Married,46463.0,1,1,2013-08-18,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,235,10,21.363636363636363,3,55,0.17543859649122806,0.0050576790633608815
Graduation,Together,105471.0,0,0,2013-01-21,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,1724,30,55.61290322580645,1,56,0.8108108108108109,0.016345570388349516
Master,Divorced,55282.0,1,0,2013-12-13,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,235,10,21.363636363636363,2,56,1.0,0.0042508546931244685
Master,Married,78710.0,0,1,2014-05-23,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,1092,25,42.0,2,49,0.5813953488372093,0.01387353737088844
Graduation,Together,66886.0,0,1,2013-09-16,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,599,15,37.4375,2,68,0.5172413793103449,0.008955402395084246
Master,Single,98777.0,0,0,2014-02-17,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,2008,19,100.4,1,66,0.7916666666666666,0.0203284132094191
Graduation,Together,29103.0,1,0,2012-08-27,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,48,4,9.6,2,41,0.10256410256410256,0.0016492578339747114
Graduation,Married,67445.0,0,1,2012-08-12,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,1174,27,41.92857142857143,2,52,0.421875,0.01740651780683806
PhD,Together,50616.0,0,1,2014-04-13,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,67,6,9.571428571428571,2,76,0.08333333333333333,0.0013236659620285674
Graduation,Divorced,49431.0,0,1,2012-08-03,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,365,13,26.071428571428573,2,71,1.3,0.007383880886874899
Graduation,Divorced,118423.5,0,0,2014-02-07,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6.0,1,51,0.0,5.0665191746640264e-05
Graduation,Together,61278.0,0,1,2014-01-04,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,165,8,18.333333333333332,2,73,0.09090909090909091,0.0026926026860751642
2n Cycle,Together,26490.0,0,0,2012-09-22,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,210,9,21.0,1,68,0.0967741935483871,0.007927220565475067
PhD,Together,73059.0,0,1,2013-08-31,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,1095,25,42.11538461538461,2,79,0.6756756756756757,0.01498768135778812
PhD,Single,46734.0,1,2,2013-10-21,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,223,8,24.77777777777778,4,60,0.09195402298850575,0.004771584465603937
Graduation,Together,56253.0,0,1,2012-12-07,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,597,18,31.42105263157895,2,63,0.21428571428571427,0.01061257866107299
Graduation,Married,19986.0,1,0,2013-11-14,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,22,3,5.5,2,41,0.04,0.001100715465052284
Graduation,Widow,58330.0,0,1,2013-12-25,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,1064,23,44.333333333333336,2,51,0.26136363636363635,0.018240729629185166
Basic,Married,25965.0,0,0,2012-09-07,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,74,5,12.333333333333334,1,46,0.16666666666666666,0.0028498806131094507
Master,Together,14661.0,0,0,2013-01-01,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,26,4,5.2,1,70,0.0449438202247191,0.001773291501841495
Graduation,Married,18690.0,0,0,2012-12-28,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,60,4,12.0,1,67,0.05128205128205128,0.003210101118185223
PhD,Together,45068.0,0,1,2013-05-16,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,20,3,5.0,2,52,0.11538461538461539,0.00044376400630144887
Basic,Single,21063.0,1,0,2013-09-25,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,59,5,9.833333333333334,2,39,0.14285714285714285,0.0028009874667679455
PhD,Married,29187.0,1,0,2013-05-09,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,34,4,6.8,2,58,0.09090909090909091,0.0011648622721666438
2n Cycle,Married,54690.0,1,1,2013-11-07,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,198,9,19.8,3,55,0.11688311688311688,0.0036203397268289115
PhD,Married,59304.0,0,1,2013-07-29,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,1048,25,40.30769230769231,2,62,0.3048780487804878,0.017671359919062473
Master,Single,59247.0,0,2,2013-11-08,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,574,16,33.76470588235294,3,64,0.18181818181818182,0.009688090737240076
Graduation,Widow,66731.0,0,1,2012-09-12,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,1029,13,73.5,2,56,0.38235294117647056,0.015419888509260925
Graduation,Married,77353.0,0,1,2013-12-16,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,670,18,35.26315789473684,2,46,0.46153846153846156,0.008661478398014323
PhD,Single,52614.0,0,1,2012-12-01,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,990,14,66.0,2,51,0.21875,0.018815927017010358
Graduation,Married,26751.0,2,0,2014-05-22,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,11,3,2.75,3,52,0.1111111111111111,0.00041118421052631577
PhD,Married,81300.0,0,1,2012-10-30,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,1241,18,65.3157894736842,2,63,1.0,0.015264264892190748
Graduation,Single,70337.0,0,0,2014-01-02,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,576,16,33.88235294117647,1,47,0.21052631578947367,0.00818903011174614
2n Cycle,Married,36145.0,1,0,2013-06-16,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,172,8,19.11111111111111,2,41,0.5714285714285714,0.004758479499806341
PhD,Single,65295.0,0,0,2013-12-23,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,664,19,33.2,1,46,0.95,0.010169076206812056
Graduation,Divorced,68118.0,0,1,2013-10-18,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,928,21,42.18181818181818,2,63,0.40384615384615385,0.013623218191693947
Graduation,Divorced,68743.0,0,0,2012-08-30,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,2074,29,69.13333333333334,1,59,0.35365853658536583,0.030169905737227977
2n Cycle,Together,41039.0,0,0,2013-07-25,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,467,14,31.133333333333333,1,44,0.42424242424242425,0.011379142300194931
Graduation,Together,38946.0,0,1,2013-10-24,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,257,10,23.363636363636363,2,71,0.11764705882352941,0.00659871106888849
Graduation,Together,65777.0,0,0,2013-12-19,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,1146,16,67.41176470588235,1,59,0.18181818181818182,0.017422238438383655
PhD,Divorced,66476.0,0,1,2013-03-07,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,689,18,36.26315789473684,2,50,0.18,0.01036448696541661
PhD,Single,86857.0,0,0,2012-09-12,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,2114,21,96.0909090909091,1,54,0.21649484536082475,0.02433857560616178
PhD,Married,118423.5,0,0,2012-08-04,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,1717,29,57.233333333333334,1,44,1.3181818181818181,0.014498689038163556
PhD,Together,77845.0,0,0,2014-05-16,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,1346,20,64.0952380952381,1,37,0.4878048780487805,0.017290548005035582
PhD,Together,69476.0,0,0,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,1044,14,69.6,1,57,3.5,0.015026555550757804
PhD,Divorced,50611.0,0,1,2012-10-04,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,493,16,29.0,2,66,0.16161616161616163,0.0097407729392239
Graduation,Single,61209.0,0,0,2013-08-25,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,957,12,73.61538461538461,1,56,0.16216216216216217,0.015634700212383598
Master,Together,42315.0,0,1,2013-07-12,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,270,9,27.0,2,68,0.0989010989010989,0.006380565270819549
Basic,Together,13084.0,0,0,2013-11-02,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,29,4,5.8,1,74,0.13333333333333333,0.002216278181123424
Master,Widow,47570.0,1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,121,6,17.285714285714285,3,77,1.5,0.0025435664585566837
Master,Married,61923.0,0,2,2013-07-26,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,126,7,15.75,3,65,0.07368421052631578,0.0020347522769846907
Graduation,Single,34824.0,0,0,2014-03-26,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,23,3,5.75,1,31,0.045454545454545456,0.0006604450825556354
PhD,Single,26518.0,1,1,2013-04-08,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,57,5,9.5,3,77,0.14705882352941177,0.0021494023153210903
Graduation,Single,45938.0,0,0,2013-11-03,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,636,18,33.473684210526315,1,65,0.3829787234042553,0.013844445895644224
Graduation,Together,78468.0,0,0,2014-04-09,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,1004,27,35.857142857142854,1,66,0.9,0.012794861665116161
Graduation,Divorced,78901.0,0,1,2013-09-17,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,734,17,40.77777777777778,2,53,0.17,0.00930267927302223
Graduation,Married,71427.0,2,0,2014-03-12,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,614,18,32.31578947368421,3,48,0.6666666666666666,0.008596068768550149
Graduation,Divorced,71022.0,0,1,2014-02-11,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,1453,18,76.47368421052632,2,48,0.5806451612903226,0.020458161440660066
Master,Single,90247.0,0,0,2014-04-29,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,1621,14,108.06666666666666,1,38,0.5,0.017961616877936352
Master,Divorced,41335.0,1,0,2013-12-26,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,187,9,18.7,2,58,0.36,0.004523901683762338
Graduation,Married,71952.0,1,0,2013-01-10,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,1443,20,68.71428571428571,2,40,0.2127659574468085,0.020054757967006242
PhD,Divorced,35682.0,1,0,2014-06-27,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,57,5,9.5,2,56,0.14285714285714285,0.001597399321805902
Graduation,Divorced,43185.0,0,1,2013-04-10,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,637,18,33.526315789473685,2,75,0.20224719101123595,0.014750150511739916
PhD,Together,66375.0,0,1,2013-11-21,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,948,11,79.0,2,78,0.1134020618556701,0.014282270700253103
Master,Married,35178.0,1,0,2013-01-10,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,59,4,11.8,2,55,0.36363636363636365,0.0016771369282810769
Graduation,Married,25252.0,1,0,2013-07-12,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,18,3,4.5,2,40,0.1111111111111111,0.0007127865996119273
Master,Single,55250.0,0,1,2012-10-21,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,903,22,39.26086956521739,2,61,0.44,0.016343595591030026
Graduation,Single,33249.0,1,0,2013-02-20,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,112,6,16.0,2,51,0.5,0.003368421052631579
Graduation,Together,58398.0,0,0,2013-05-14,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,596,17,33.111111111111114,1,73,0.37777777777777777,0.010205654206407644
Graduation,Together,50272.0,1,0,2013-08-07,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,233,10,21.181818181818183,2,44,0.13157894736842105,0.004634694567660573
PhD,Married,76618.0,0,0,2012-12-07,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,1511,10,137.36363636363637,1,51,0.15384615384615385,0.019720956942794868
2n Cycle,Divorced,87305.0,0,0,2012-09-23,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,1152,16,67.76470588235294,1,66,0.8,0.013194969417909421
Graduation,Together,25851.0,1,0,2013-02-11,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,48,5,8.0,2,48,0.10869565217391304,0.0018567228841095467
Graduation,Divorced,58710.0,0,1,2013-03-31,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,1185,25,45.57692307692308,2,56,0.32051282051282054,0.020183611248318033
Graduation,Single,45160.0,1,1,2014-03-29,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,21,3,5.25,3,68,0.3,0.0004650029893049312
Master,Married,74806.0,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,965,14,64.33333333333333,2,61,7.0,0.012899862312350449
Graduation,Married,59111.0,0,0,2013-05-02,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,869,20,41.38095238095238,1,72,0.21978021978021978,0.014700906753281905
PhD,Married,18988.0,1,0,2014-05-23,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,16,4,3.2,2,42,0.09090909090909091,0.0008425930802043288
Graduation,Married,72190.0,0,0,2013-02-13,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,1947,15,121.6875,1,61,0.1875,0.026970120929201702
Graduation,Married,7500.0,1,0,2012-08-01,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,71,7,8.875,2,50,0.35,0.009465404612718305
Graduation,Married,44794.0,0,1,2014-06-08,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,65,5,10.833333333333334,2,60,0.05,0.0014510548052237974
Graduation,Married,80395.0,0,0,2013-11-23,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,1380,23,57.5,1,71,0.36507936507936506,0.017165033086223195
Master,Divorced,75012.0,0,0,2014-01-25,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,1027,22,44.65217391304348,1,50,0.5238095238095238,0.013690960233559516
Master,Married,56962.0,2,1,2013-10-11,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,411,14,27.4,4,61,0.22950819672131148,0.007215209873075505
Graduation,Together,89891.0,0,0,2013-04-15,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,836,25,32.15384615384615,1,35,1.3888888888888888,0.00930004894762604
PhD,Divorced,35946.0,1,1,2013-09-27,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,11,3,2.75,3,77,0.12,0.0003060060644838234
PhD,Together,53593.0,1,1,2012-08-07,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,480,15,30.0,3,73,0.2459016393442623,0.008956226443258573
Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,16,35.64705882352941,3,48,0.27586206896551724,0.009130081055835116
PhD,Divorced,45072.0,1,2,2013-10-16,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,284,11,23.666666666666668,4,78,0.14666666666666667,0.006300889667872118
Graduation,Divorced,89694.0,1,1,2013-10-09,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,1472,11,122.66666666666667,3,53,0.4782608695652174,0.016411171191259268
Graduation,Married,72025.0,0,0,2014-04-29,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,1677,25,64.5,1,77,0.5319148936170213,0.023283258823202733
Graduation,Married,67432.0,0,1,2013-03-29,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,1335,17,74.16666666666667,2,53,0.24285714285714285,0.019797428558717543
Master,Together,70545.0,0,1,2014-06-03,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,334,12,25.692307692307693,2,74,0.4,0.004734499475519519
Basic,Married,17487.0,1,0,2013-03-18,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,18,3,4.5,2,37,0.07894736842105263,0.0010292772186642268
Graduation,Together,62882.0,0,1,2012-08-09,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,1338,18,70.42105263157895,2,57,0.6666666666666666,0.021277610801011402
PhD,Single,64108.0,0,1,2013-03-23,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,1099,26,40.7037037037037,2,73,2.888888888888889,0.017142678875040947
Master,Together,34941.0,1,1,2013-03-06,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,97,6,13.857142857142858,3,70,0.2222222222222222,0.0027760288478049337
PhD,Single,48767.0,1,2,2014-01-01,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,63,6,9.0,4,76,0.075,0.0012918307086614174
2n Cycle,Together,38702.0,1,0,2013-08-01,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,109,7,13.625,2,48,0.09722222222222222,0.00281631914838643
Graduation,Married,82224.0,0,0,2014-01-25,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,902,20,42.95238095238095,1,62,0.23809523809523808,0.01096989966555184
Graduation,Together,83844.0,0,0,2013-05-12,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,1574,19,78.7,1,74,0.3275862068965517,0.01877273540461566
2n Cycle,Married,17003.0,1,0,2013-12-09,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,38,6,5.428571428571429,2,51,0.15789473684210525,0.002234768289814161
Graduation,Single,71163.0,0,0,2014-03-09,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,960,23,40.0,1,31,0.7419354838709677,0.013489966837164859
Graduation,Single,33697.0,1,0,2013-09-15,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,0,28,3,7.0,2,56,0.08571428571428572,0.0008309098462816784
2n Cycle,Married,63564.0,0,0,2014-01-29,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,1,1215,27,43.392857142857146,1,72,27.0,0.01911429245654055
PhD,Together,83443.0,0,0,2013-12-31,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,1497,21,68.04545454545455,1,54,0.23333333333333334,0.017940175447006376
PhD,Together,51518.0,0,1,2013-10-03,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,449,15,28.0625,2,68,0.16129032258064516,0.00871523127389895
Graduation,Widow,58330.0,0,1,2013-12-25,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,1064,23,44.333333333333336,2,51,0.26136363636363635,0.018240729629185166
Graduation,Married,80952.0,0,0,2013-02-28,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,1,1757,24,70.28,1,57,1.1428571428571428,0.021703951675663656
Graduation,Together,75507.0,0,0,2014-05-02,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,0,1440,20,68.57142857142857,1,47,0.3508771929824561,0.01907082693224559
2n Cycle,Together,63855.0,0,0,2013-02-09,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,1006,23,41.916666666666664,1,48,0.7931034482758621,0.015754196943122023
PhD,Together,62220.0,0,1,2012-08-11,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,1,1226,18,64.52631578947368,2,54,0.32142857142857145,0.019703958470612817
Graduation,Married,58512.0,0,1,2013-09-19,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,1171,15,73.1875,2,62,0.5769230769230769,0.02001264676225796
Master,Married,40662.0,1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,92,6,13.142857142857142,2,47,6.0,0.002262499077785702
PhD,Married,38829.0,0,1,2014-04-06,86,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,0,99,7,12.375,2,67,0.08045977011494253,0.0025495750708215297
2n Cycle,Married,35523.0,1,0,2013-10-03,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,66,6,9.428571428571429,2,45,0.6666666666666666,0.0018578988852606688
Graduation,Single,79146.0,1,1,2014-04-24,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,564,17,31.333333333333332,3,59,0.5,0.0071259807699596955
Master,Married,78285.0,0,0,2013-10-28,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,0,0,1427,20,67.95238095238095,1,38,1.4285714285714286,0.018228035664103415
PhD,Single,31626.0,1,0,2013-05-10,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,1,86,5,14.333333333333334,2,48,0.38461538461538464,0.0027191956239921585
Graduation,Single,75127.0,0,0,2014-05-22,92,203,35,305,46,17,227,1,2,11,5,1,0,0,0,0,0,0,0,833,18,43.8421052631579,1,74,0.1935483870967742,0.011087743584282824
Graduation,Married,48726.0,0,1,2013-04-27,90,138,3,38,4,0,59,3,3,2,4,6,0,0,0,0,0,0,0,242,9,24.2,2,71,0.0989010989010989,0.004966445707718513
Graduation,Married,74985.0,0,0,2012-09-11,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,0,1869,16,109.94117647058823,1,49,1.7777777777777777,0.024924652601819006
Graduation,Together,67430.0,0,0,2012-09-05,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,1364,28,47.03448275862069,1,39,4.0,0.02022808500541294
2n Cycle,Married,46891.0,0,1,2013-09-01,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,183,7,22.875,2,61,0.07608695652173914,0.00390258466262902
